cases=1000 skipped_no_truth=0 argmax_match=1000/1000 (100.00%) longest_input_tokens=150 temp=1.4265149
top-probability |p-gold|: max=0.000005 mean=0.000000
progress cases=100 argmax_match=100 max_dev_so_far=0.000003
progress cases=200 argmax_match=200 max_dev_so_far=0.000005
progress cases=300 argmax_match=300 max_dev_so_far=0.000005
progress cases=400 argmax_match=400 max_dev_so_far=0.000005
progress cases=500 argmax_match=500 max_dev_so_far=0.000005
progress cases=600 argmax_match=600 max_dev_so_far=0.000005
progress cases=700 argmax_match=700 max_dev_so_far=0.000005
progress cases=800 argmax_match=800 max_dev_so_far=0.000005
progress cases=900 argmax_match=900 max_dev_so_far=0.000005
progress cases=1000 argmax_match=1000 max_dev_so_far=0.000005
